address,datePublished,domain,extracted_date,food_category,food_types,link,opinions,prices_range,rating,restaurant_name
"Eje Vial Eje 4 sur (Avenida Benjamin Franklin) 261 Local A, Ciudad de México 06170 México",,www.tripadvisor.com.mx,2022-09-08 17:52:16,"Almuerzo, Cena, Abierto hasta tarde","Comida para llevar, Reservaciones, Asiento, Sirve alcohol, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1874215-Reviews-Montejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,69,"Mexicana, Bar, Latina, Española",4.0,Montejo
"Avenida Emilio Castelar 163 Polanco, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:52:16,Opciones sin gluten,"Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d15004181-Reviews-Blanco_Castelar-Mexico_City_Central_Mexico_and_Gulf_Coast.html,89,"Bar, Internacional, Contemporánea, Pub",4.0,Blanco Castelar
"Oscar Wilde 9, Polanco, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:17,"Asiento, Sirve alcohol, Wi-Fi gratis, Servicio de mesa, Reservaciones",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10262141-Reviews-Licoreria_Limantour-Mexico_City_Central_Mexico_and_Gulf_Coast.html,73,Bar,4.0,Licorería Limantour
"Calle Aguascalientes 206 Esquina Nuevo Leon y Aguascalientes, Ciudad de México 06100 México",,www.tripadvisor.com.mx,2022-09-08 17:52:17,"Mexicana, Peruana, Internacional, Fusión","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4191818-Reviews-La_taberna_del_chanclas-Mexico_City_Central_Mexico_and_Gulf_Coast.html,145,$150 - $400,4.0,La taberna del chanclas
"Avenida Explanada 710 Prado Sur, Ciudad de México 11000 México",,www.tripadvisor.com.mx,2022-09-08 17:52:17,"Apto para vegetarianos, Opciones veganas","Desayuno, Almuerzo, Brunch",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11706469-Reviews-Pasteleria_Mallorca_Explanada-Mexico_City_Central_Mexico_and_Gulf_Coast.html,75,Española,4.0,Pastelería Mallorca
"Av. Javier Barros Sierra 540 Santa Fe, Ciudad de México 01790 México",,www.tripadvisor.com.mx,2022-09-08 17:52:18,"Delicatessen, Café, Mexicana","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d7392440-Reviews-Debbie_Peponne-Mexico_City_Central_Mexico_and_Gulf_Coast.html,152,$150 - $350,4.0,Debbie & Peponne
"Paseo de la Reforma Av. Paseo de la Reforma No. 250, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:18,"Apto para vegetarianos, Opciones veganas","Almuerzo, Cena, Abierto hasta tarde",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3803881-Reviews-Olive_Garden-Mexico_City_Central_Mexico_and_Gulf_Coast.html,247,Italiana,4.0,Olive Garden
"Avenida Revolución 67 Miguel Higalgo, Ciudad de México 11870 México",,www.tripadvisor.com.mx,2022-09-08 17:52:18,"Almuerzo, Cena","Asiento, Servicio de mesa, Tarjetas de regalo disponibles",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24124064-Reviews-Revolucion_67-Mexico_City_Central_Mexico_and_Gulf_Coast.html,17,"Italiana, Internacional, Española, Bar de vinos",5.0,Revolución 67
"Juan Salvador Agraz 60, Ciudad de México 05348 México",,www.tripadvisor.com.mx,2022-09-08 17:52:19,"Japonesa, Sushi",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1978454-Reviews-Wa_Teppan_Sushi_Bar_Santa_Fe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,61,$502 - $803,4.0,Wa Teppan & Sushi Bar - Santa Fe
"Moctezuma, 12-E Timbre Que Dice Pozole, Ciudad de México 06300 México",,www.tripadvisor.com.mx,2022-09-08 17:52:19,"Comida para llevar, Asiento, Servicio de mesa",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8083613-Reviews-Pozole_de_Moctezuma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,33,Mexicana,4.5,Pozole de Moctezuma
