,address,domain,extracted_date,food_category,food_types,link,opinions,min_price,max_price,rating,restaurant_name
5735,"Mazatl��n 81, Esq. Fernando Montes De Oca,locales, Ciudad de M̩xico 06140 M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,"Desayuno, Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23694473-Reviews-The_Green_Corner_Condesa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,The Green Corner Condesa
5736,"Calle Suchil Ed a Local B 109 Coyoac��n, Ciudad de M̩xico 04380 M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,Mexicana,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13561029-Reviews-La_Paleteria_HM-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,16.0,180.0,,La Paleteria HM
5737,"Av Santa Fe 546 Int. Loc. 3 A, Ciudad de M̩xico 01219 M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d17521799-Reviews-Fish_Xi-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Fish-Xi
5738,"Calle Avenida Forestal 11, Ciudad de M̩xico 14370 M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23900081-Reviews-Losjochos_De_La_Perrera_Forestal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Losjochos De La Perrera Forestal
5739,"Eje 1 Nte. 259 Plaza Buena Vista, Dentro del Forum Buenavista Centro Comercial, Ciudad de M̩xico 06350 M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d14024182-Reviews-Barrio_Gaucho-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Barrio Gaucho
5740,"Federico T de la Chica No. 12, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765526-Reviews-Barrio_El_Carmen-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Barrio El Carmen
5741,"Ejercito Nacional #843, Local D-139 - Centro Comercial Antara, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765535-Reviews-La_Taverne-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,La Taverne
5742,"Genova 70, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765537-Reviews-Casa_Mexico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Casa Mexico
5743,"Federico T de la Chica No. 8, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765531-Reviews-Break_Point-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Break Point
5744,"Durango 43, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765556-Reviews-Andramari-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Andramari
5745,"Paseo de la Reforma #2620, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:19,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765564-Reviews-RP_2620-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,RP/2620
5746,"Av observatorio, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11915361-Reviews-La_casa_del_buen_Pozole_Arandas_observatorio-Mexico_City_Central_Mexico_and_Gulf.html,,463.7050452781371,44320.62354463131,,La casa del buen Pozole Arandas observatorio
5747,"Monte Elbruz 132, Ciudad de M̩xico 11560 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4766654-Reviews-Beluz-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Beluz
5748,"Orizaba 203 L2, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24929288-Reviews-Trattoria_Barolo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Trattoria Barolo
5749,"Av Tecamachalco 263, Reforma Soc, Miguel Hidalgo, Ciudad de M̩xico 11650 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23540505-Reviews-Las_Rapibeers-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Las Rapibeers
5750,"Amsterdam 53, Col. Hip�_dromo, Cuahut̩moc 2� piso del mismo edificio donde est�� el famoso restaurante Merkav��, Ciudad de M̩xico 06100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Bar, Pub, Del Medio Oriente, Israel�_, ́rabe",Cena,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24877971-Reviews-Sod-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,13055.0,24102.0,,Sod
5751,"Av El Rosario 1025 Town Center El Rosario, Ciudad de M̩xico 02100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12790277-Reviews-Vips_Town_Center_El_Rosario-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Vips Town Center El Rosario
5752,"Avenida Universidad 586, Ciudad de M̩xico 03650 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13150343-Reviews-Bimba_Bistrot_Cafe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Bimba Bistrot Cafe
5753,"Dr. V̩rtiz 725, Col. Narvarte, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23437756-Reviews-Brujelarre_Magia_Y_Cafe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Brujelarre Magia Y Caf̩
